location_country,date_year,stem_percent_female_graduates
Mozambique,2012,27.38167
Mozambique,2013,34.8408699
Mozambique,2014,26.02996063
Myanmar,2011,66.23117065
Myanmar,2012,64.85590363
Namibia,2001,34.69387817
Namibia,2003,35.2458992
Namibia,2005,40.86022186
Namibia,2006,33.1658287
Namibia,2008,38.35615921
Nepal,2013,23.05220985
Netherlands,1999,17.10371971
Netherlands,2000,17.6475296
Netherlands,2001,17.38787079
Netherlands,2002,17.84054947
Netherlands,2003,18.41292
Netherlands,2004,19.50391006
Netherlands,2005,20.32146072
Netherlands,2006,18.41777039
Netherlands,2007,18.88043976
Netherlands,2008,18.89246941
Netherlands,2009,19.79283905
Netherlands,2010,20.81841087
Netherlands,2011,22.23447037
Netherlands,2012,22.99991035
New Zealand,1998,40.21865082
New Zealand,1999,41.25442886
New Zealand,2000,39.81272125
New Zealand,2001,38.45058823
New Zealand,2002,36.75294876
New Zealand,2003,35.70240021
New Zealand,2004,35.95315933
New Zealand,2005,35.4473381
New Zealand,2006,35.79858017
New Zealand,2007,36.20175171
New Zealand,2008,37.70640945
New Zealand,2009,35.13470078
New Zealand,2010,35.44018173
New Zealand,2011,35.88513184
New Zealand,2012,35.01023865
Niger,2001,7.692309856
North Macedonia,1999,41.96982956
North Macedonia,2000,41.59592819
North Macedonia,2001,41.39302826
North Macedonia,2002,44.06438828
North Macedonia,2003,41.10371017
North Macedonia,2004,45.20201874
North Macedonia,2005,46.91646957
North Macedonia,2006,45.96363831
North Macedonia,2007,39.77119827
North Macedonia,2008,42.79938889
North Macedonia,2009,41.67026901
North Macedonia,2010,39.44470978
North Macedonia,2011,37.59899902
North Macedonia,2012,38.58813095
North Macedonia,2013,38.39138031
Norway,1999,25.47401047
Norway,2000,26.83686066
Norway,2001,25.30517006
Norway,2002,27.09889984
Norway,2003,27.11392021
Norway,2004,24.46703911
Norway,2005,26.04825974
Norway,2007,28.61194992
Norway,2008,29.62063026
Norway,2009,30.14870071
Norway,2010,30.86705017
Norway,2011,29.77783966
Norway,2012,30.55838966
Norway,2013,25.70214081
Norway,2014,24.61372948
Oman,2007,44.06175995
Oman,2009,45.86331177
Oman,2010,49.58863068
Palau,2013,14.28571033
Palestine,1999,43.26985931
Palestine,2000,44.67253113
Palestine,2001,43.78895187
Palestine,2003,45.26528168
Palestine,2004,47.81784058
Palestine,2007,41.64847183
Palestine,2008,42.62752914
Palestine,2009,43.12945175
Palestine,2010,43.70236969
Palestine,2011,44.38874054
Palestine,2012,45.01625824
Palestine,2013,45.53538132
Palestine,2014,44.82022858
Panama,2002,40.21199036
Panama,2003,18.77363968
Panama,2004,44.79005051
Panama,2005,44.55414963
Panama,2006,41.82939148
Panama,2007,40.27106094
Panama,2008,40.75547028
Panama,2009,40.7088089
Panama,2010,39.00642014
Panama,2011,56.47901917
Panama,2012,41.71411896
Panama,2013,41.7419014
Philippines,2003,46.89202881
Philippines,2004,40.41423035
Philippines,2010,39.00654984
Philippines,2011,41.68621826
Philippines,2012,39.68925095
Philippines,2013,42.42148972
Philippines,2014,42.05302811
Poland,2005,36.60478973
Poland,2006,39.15655899
Poland,2007,39.15908051
Poland,2008,40.32025909
Poland,2009,38.15148163
Poland,2010,38.55823898
Poland,2011,38.12097931
Poland,2012,39.9247818
Poland,2013,41.14559174
Poland,2014,41.81822968
Portugal,2000,38.03895187
Portugal,2002,41.00460815
Portugal,2003,41.54626083
Portugal,2004,41.0454216
Portugal,2005,39.93901825
Portugal,2006,39.66851044
Portugal,2007,34.78604126
Portugal,2008,34.09206009
Portugal,2009,34.45032883
Portugal,2010,37.02111816
Portugal,2011,37.93199921
Portugal,2012,38.51634979
Portugal,2013,39.55236053
Portugal,2014,39.850811
Puerto Rico,2008,28.16607094
Puerto Rico,2009,37.63167953
Puerto Rico,2011,37.41149139
Puerto Rico,2012,37.44485092
Puerto Rico,2013,43.81401825
Qatar,2000,73.86759949
Qatar,2001,51.86566925
Qatar,2002,45.67308044
Qatar,2003,47.36841965
Qatar,2007,57.74647903
Qatar,2008,53.86473083
Qatar,2009,48.51190186
Qatar,2010,43.73402023
Qatar,2011,25.07987022
Qatar,2012,31.01362038
Qatar,2013,33.97914124
Qatar,2014,38.1355896
Romania,1999,32.09495926
Romania,2000,35.09429932
Romania,2001,35.61122131
Romania,2002,36.55456161
Romania,2004,38.53403091
Romania,2005,39.96881104
Romania,2006,38.62248993
Romania,2007,40.04159164
Romania,2008,43.10066986
Romania,2009,36.33652115
Romania,2010,39.71643066
Romania,2011,42.47866821
Romania,2012,40.84152985
Romania,2013,40.38544846
Romania,2014,40.76665115
Rwanda,2012,30.00278091
Samoa,1998,36.36363983
Samoa,1999,36.70885849
Samoa,2000,24
Saudi Arabia,1998,21.07723999
Saudi Arabia,1999,35.73410034
Saudi Arabia,2000,21.15263939
Saudi Arabia,2002,17.80598068
Saudi Arabia,2003,16.09654045
Saudi Arabia,2004,39.2315712
Saudi Arabia,2005,40.27666855
Saudi Arabia,2006,49.37202072
Saudi Arabia,2007,57.88233948
Saudi Arabia,2008,57.47286987
Saudi Arabia,2009,57.49605179
Saudi Arabia,2010,38.00926971
Saudi Arabia,2011,36.87493896
Saudi Arabia,2012,39.75970078
Saudi Arabia,2013,38.92535019
Saudi Arabia,2014,38.82661819
Serbia,2007,42.4024086
Serbia,2008,42.35639954
Serbia,2009,42.05812073
Serbia,2010,41.27183914
Serbia,2011,39.15824127
Serbia,2012,37.27936172
Serbia,2013,39.41091156
Serbia,2014,39.1651001
Seychelles,2011,26.66666985
Seychelles,2014,34.28570938
Sierra Leone,2000,61.11111069
Slovakia,1999,28.26910019
Slovakia,2000,30.05290985
Slovakia,2001,32.43724823
